MedCodeID,Description
7.96729E+15,Pulmonary embolism with infarction
7.96728E+15,Pulmonary embolism with pulmonary infarction
9.32565E+15,Pulmonary embolism in childbirth
9.32666E+15,History of pulmonary embolism on long-term anticoagulation therapy
8.0421E+15,Chronic pulmonary embolism
478094014,Amniotic fluid embolism
2.77386E+15,Amniotic fluid pulmonary embolism
307826010,Amniotic fluid pulmonary embolism unspecified
307831012,Amniotic fluid pulmonary embolism NOS
307869019,Obstetric pulmonary embolism NOS - delivered
307816015,Obstetric pulmonary embolus
2.68641E+14,Obstetric pulmonary embolism NOS
307866014,Other obstetric pulmonary embolism NOS
307862011,Other obstetric pulmonary embolism - delivered
307815016,Obstetric pulmonary embolism
4.8023E+15,Puerperal pulmonary embolism
307872014,Obstetric pulmonary embolism NOS with postnatal complication
307871019,Obstetric pulmonary embolism NOS with antenatal complication
2.4951E+13,Other obstetric pulmonary embolism - delivered + p/n comp
398450017,Other obstetric pulmonary embolism
307861016,Other obstetric pulmonary embolism unspecified
2.4991E+13,Other obstetric pulmonary embolism with postnatal comp
308193011,[X]Other obstetric embolism
2.68671E+14,Obstetric pulmonary embolism NOS - delivered with p/n comp
307868010,"Obstetric pulmonary embolism NOS, unspecified"
307867017,Obstetric pulmonary embolism NOS
2.4981E+13,Other obstetric pulmonary embolism with antenatal comp
8.88731E+14,Obstetrical pulmonary embolism
307819010,Obstetric air pulmonary embolism
307820016,Obstetric air pulmonary embolism unspecified
307825014,Obstetric air pulmonary embolism NOS
307821017,Obstetric air pulmonary embolism - delivered
2.69841E+14,Obstetric air pulmonary embolism - delivered with postnatal complication
2.69891E+14,Obstetric air pulmonary embolism with a/n complication
4.80236E+15,Obstetric air pulmonary embolism with antenatal complication
4.80237E+15,Obstetric air pulmonary embolism with postnatal complication
2.69901E+14,Obstetric air pulmonary embolism with p/n complication
307827018,Amniotic fluid pulmonary embolism - delivered
4.80239E+15,Postpartum amniotic fluid embolism
4.79841E+14,Amniotic fluid pulmonary embolism - delivered with postnatal complication
4.79891E+14,Amniotic fluid pulmonary embolism with antenatal complication
4.79901E+14,Amniotic fluid pulmonary embolism with postnatal complication
307832017,Obstetric blood-clot pulmonary embolism
307838018,Obstetric blood-clot pulmonary embolism NOS
307833010,Obstetric blood-clot pulmonary embolism unspecified
307834016,Obstetric blood-clot pulmonary embolism - delivered
2.69411E+14,Obstetric blood-clot pulmonary embolism - delivered with postnatal complication
2.69431E+14,Obstetric blood-clot pulmonary embolism with antenatal complication
2.69441E+14,Obstetric blood-clot pulmonary embolism with postnatal complication
307848016,Obstetric pyaemic and septic pulmonary embolism - delivered
4.80249E+15,Obstetric pyemic and septic pulmonary embolism - delivered
2.68741E+14,Obstetric pyaemic and septic pulmonary embolism - delivered with postnatal complication
4.80251E+15,Obstetric pyemic and septic pulmonary embolism - delivered with postnatal complication
2.68721E+14,Obstetric pyaemic and septic pulmonary embolism with antenatal complication
4.80253E+15,Obstetric pyemic and septic pulmonary embolism with antenatal complication
4.80255E+15,Obstetric pyemic and septic pulmonary embolism with postnatal complication
2.68731E+14,Obstetric pyaemic and septic pulmonary embolism with postnatal complication
5.04736E+15,Operation for pulmonary embolism
5.05764E+15,AMP - Acute massive pulmonary embolism
5.05763E+15,AMPE - Acute massive pulmonary embolism
5.05762E+15,Acute massive pulmonary embolism
5.05766E+15,SAMPE - Subacute massive pulmonary embolism
5.05765E+15,Subacute massive pulmonary embolism
1.49011E+14,Septic obstetric embolism
5.4998E+15,Obstetric pyemic and septic pulmonary embolism
398448013,Obstetric pyaemic and septic pulmonary embolism
1.95111E+14,Pyaemic obstetric embolism
307856018,Obstetric pyaemic and septic pulmonary embolism NOS
307847014,Obstetric pyaemic and septic pulmonary embolism unspecified
2549664019,Suspected pulmonary embolism
7.12694E+15,Family history of pulmonary embolism
6.32111E+14,Recurrent pulmonary embolism
7.25175E+15,Septic embolus of lung
7.25174E+15,Septic pulmonary embolism
7.25462E+15,"Pulmonary embolism and infarction, iatrogenic"
7.25461E+15,Infarction of lung due to iatrogenic pulmonary embolism
3.32805E+15,Legal abortion with pulmonary embolism
3.32804E+15,Legal termination of pregnancy with pulmonary embolism
3.40268E+15,Illegal termination of pregnancy with pulmonary embolism
3.40269E+15,Illegal abortion with pulmonary embolism
3.44409E+15,Failed attempted termination of pregnancy with pulmonary embolism
3.4441E+15,Failed attempted abortion with pulmonary embolism
1.93601E+14,Pulmonary embolus
3.46292E+15,PE - Pulmonary embolism
98484016,Pulmonary embolism
7.49891E+15,Termination of pregnancy complicated by pulmonary embolism
7.4989E+15,Induced termination of pregnancy complicated by pulmonary embolism
305585018,Pulmonary embolism following abortive pregnancy
2.50906E+15,Pulmonary embolism following molar AND/OR ectopic pregnancy
7.60958E+15,Acute pulmonary embolism
7.69948E+15,Pulmonary embolism on long-term anticoagulation therapy
7.84852E+15,Pulmonary embolism as current complication following acute myocardial infarction
1.2369E+16,Pulmonary embolism due to and following acute myocardial infarction
7.84853E+15,Pulmonary embolism following acute myocardial infarction
3.83602E+15,Miscarriage with pulmonary embolism
3.83603E+15,Spontaneous abortion with pulmonary embolism
251693011,H/O: pulmonary embolus
271392011,Trendelenburg pulmonary embolectomy
2.61021E+14,Open pulmonary embolectomy
2.32951E+14,Percutaneous transluminal embolectomy of pulmonary artery
2.16591E+14,Postoperative pulmonary embolus
7.28841E+14,Pulmonary infarction
355719012,Fat embolism - obstetric
451479013,[V] Personal history of pulmonary embolism
